Date,FG,SPX,NQ
2020-05-14,38.0,2852.5,9094.419921875
2020-05-15,39.0,2863.7,9152.6396484375
2020-05-18,47.0,2953.91,9331.9296875
2020-05-19,48.0,2922.94,9298.5400390625
2020-05-20,52.0,2971.61,9485.01953125
2020-05-21,52.0,2948.51,9377.990234375
2020-05-22,50.0,2955.45,9413.990234375
2020-05-26,50.0,2991.77,9389.98046875
2020-05-27,53.0,3036.13,9442.0498046875
2020-05-28,50.0,3029.73,9416.7099609375
2020-05-29,52.0,3044.31,9555.5302734375
2020-06-01,58.0,3055.73,9598.8896484375
2020-06-02,58.0,3080.82,9657.3095703125
2020-06-03,60.0,3122.87,9704.6904296875
2020-06-04,62.0,3112.35,9629.66015625
2020-06-05,66.0,3193.93,9824.3896484375
2020-06-08,67.0,3232.39,9901.51953125
2020-06-09,67.0,3207.18,9967.169921875
2020-06-10,67.0,3190.14,10094.259765625
2020-06-11,56.0,3002.1,9588.48046875
2020-06-12,54.0,3041.31,9663.7802734375
2020-06-15,53.0,3066.59,9776.8896484375
2020-06-16,52.0,3124.74,9949.3701171875
2020-06-17,52.0,3113.49,9982.48046875
2020-06-18,51.0,3115.34,10012.0498046875
2020-06-19,52.0,3097.74,10008.6396484375
2020-06-22,52.0,3117.86,10130.330078125
2020-06-23,52.0,3131.29,10209.8203125
2020-06-24,48.0,3050.33,10002.7001953125
2020-06-25,49.0,3083.76,10101.830078125
2020-06-26,45.0,3009.05,9849.3603515625
2020-06-29,48.0,3053.24,9961.16015625
2020-06-30,47.0,3100.29,10156.849609375
2020-07-01,48.0,3115.86,10279.25
2020-07-02,50.0,3130.01,10341.8896484375
2020-07-06,51.0,3179.72,10604.0595703125
2020-07-07,49.0,3145.32,10524.009765625
2020-07-08,52.0,3169.94,10666.7001953125
2020-07-09,53.0,3152.05,10754.58984375
2020-07-10,59.0,3185.04,10836.330078125
2020-07-13,53.0,3155.22,10602.2099609375
2020-07-14,61.0,3197.52,10689.51953125
2020-07-15,62.0,3226.56,10701.6796875
2020-07-16,62.0,3215.57,10626.4599609375
2020-07-17,63.0,3224.73,10645.2197265625
2020-07-20,65.0,3251.84,10952.080078125
2020-07-21,65.0,3257.3,10833.0703125
2020-07-22,65.0,3276.02,10870.75
2020-07-23,68.0,3235.66,10580.58984375
2020-07-24,63.0,3215.63,10483.1298828125
2020-07-27,65.0,3239.41,10674.3798828125
2020-07-28,63.0,3218.44,10532.5
2020-07-29,64.0,3258.44,10662.98046875
2020-07-30,62.0,3246.22,10715.509765625
2020-07-31,65.0,3271.12,10905.8798828125
2020-08-03,67.0,3294.61,11055.080078125
2020-08-04,67.0,3306.51,11096.5400390625
2020-08-05,70.0,3327.77,11125.4404296875
2020-08-06,73.0,3349.16,11267.080078125
2020-08-07,72.0,3351.28,11139.3896484375
2020-08-10,75.0,3360.47,11085.169921875
2020-08-11,71.0,3333.69,10876.080078125
2020-08-12,73.0,3380.35,11157.7197265625
2020-08-13,72.0,3373.43,11178.3701171875
2020-08-14,72.0,3372.85,11164.4501953125
2020-08-17,71.0,3381.99,11288.5703125
2020-08-18,70.0,3389.78,11399.0302734375
2020-08-19,68.0,3374.85,11318.6396484375
2020-08-20,70.0,3385.51,11477.0498046875
2020-08-21,70.0,3397.16,11555.16015625
2020-08-24,71.0,3431.28,11626.169921875
2020-08-25,73.0,3443.62,11721.8095703125
2020-08-26,74.0,3478.73,11971.9404296875
2020-08-27,76.0,3484.55,11926.16015625
2020-08-28,77.0,3508.01,11995.849609375
2020-08-31,74.0,3500.31,12110.7001953125
2020-09-01,77.0,3526.65,12292.8603515625
2020-09-02,78.0,3580.84,12420.5400390625
2020-09-03,60.0,3455.06,11771.3701171875
2020-09-04,59.0,3426.96,11622.1298828125
2020-09-08,55.0,3331.84,11068.259765625
2020-09-09,65.0,3398.96,11395.849609375
2020-09-10,59.0,3339.19,11154.1201171875
2020-09-11,58.0,3340.97,11087.400390625
2020-09-14,59.0,3383.54,11277.759765625
2020-09-15,59.0,3401.2,11438.8701171875
2020-09-16,56.0,3385.49,11247.599609375
2020-09-17,53.0,3357.01,11080.9501953125
2020-09-18,52.0,3319.47,10936.98046875
2021-02-01,43.400000000000006,3773.86,13248.900390625
2021-02-02,60.46666666666667,3826.31,13456.1201171875
2021-02-03,59.2,3830.17,13402.3701171875
2021-02-04,61.06666666666667,3871.74,13560.8896484375
2021-02-05,68.0,3886.83,13603.9599609375
2021-02-08,72.86666666666667,3915.59,13695.01953125
2021-02-09,75.4,3911.23,13687.080078125
2021-02-10,75.26666666666667,3909.88,13655.26953125
2021-02-11,76.0,3916.38,13734.349609375
2021-02-12,77.66666666666667,3934.83,13807.7001953125
2021-02-16,73.93333333333334,3932.59,13773.76953125
2021-02-17,70.2,3931.33,13699.7099609375
2021-02-18,62.53333333333334,3913.97,13637.509765625
2021-02-19,56.239999999999995,3906.71,13580.7802734375
2021-02-22,52.48,3876.5,13223.740234375
2021-02-23,50.56,3881.37,13194.7099609375
2021-02-24,63.8,3925.43,13302.1904296875
2021-02-25,46.16,3829.34,12828.3095703125
2021-02-26,53.52,3811.15,12909.4404296875
2021-03-01,58.52,3901.82,13282.9501953125
2021-03-02,50.32000000000001,3870.29,13059.9501953125
2021-03-03,43.84,3819.72,12683.330078125
2021-03-04,37.8,3768.47,12464.0
2021-03-05,41.52,3841.94,12668.509765625
2021-03-08,39.08,3821.35,12299.080078125
2021-03-09,43.36,3875.44,12794.490234375
2021-03-10,45.56,3898.81,12752.0703125
2021-03-11,50.48,3939.34,13052.900390625
2021-03-12,53.720000000000006,3943.34,12937.2900390625
2021-03-15,56.52,3968.94,13082.5400390625
2021-03-16,54.8,3962.71,13152.2802734375
2021-03-17,57.86666666666667,3974.12,13202.3798828125
2021-03-18,52.333333333333336,3915.46,12789.1396484375
2021-03-19,50.833333333333336,3913.1,12866.990234375
2021-03-22,50.7,3940.59,13086.509765625
2021-03-23,41.8,3910.52,13017.7900390625
2021-03-24,37.66666666666667,3889.14,12798.8798828125
2021-03-25,37.833333333333336,3909.52,12780.509765625
2021-03-26,37.56666666666667,3974.54,12979.1201171875
2021-03-29,39.56666666666667,3971.09,12965.740234375
2021-03-30,42.03333333333334,3958.55,12896.5302734375
2021-03-31,44.56666666666667,3972.89,13091.4404296875
2021-04-01,46.400000000000006,4019.87,13329.51953125
2021-04-05,54.56666666666667,4077.91,13598.16015625
2021-04-06,53.5,4073.94,13578.4599609375
2021-04-07,52.53333333333333,4079.95,13616.7001953125
2021-04-08,48.099999999999994,4097.17,13758.509765625
2021-04-09,47.5,4128.8,13845.0595703125
2021-04-12,43.43333333333334,4127.99,13819.349609375
2021-04-13,43.63333333333333,4141.59,13986.490234375
2021-04-14,39.96666666666667,4124.66,13803.91015625
2021-04-15,47.16666666666668,4170.42,14026.1904296875
2021-04-16,51.3,4185.47,14041.91015625
2021-04-19,45.26666666666667,4163.26,13907.669921875
2021-04-20,42.866666666666674,4134.94,13809.2998046875
2021-04-21,49.63333333333333,4173.42,13935.150390625
2021-04-22,46.70000000000001,4134.98,13762.3603515625
2021-04-23,47.7,4180.17,13941.4404296875
2021-04-26,50.53333333333334,4187.62,14026.16015625
2021-04-27,54.8,4186.72,13960.2802734375
2021-04-28,52.400000000000006,4183.18,13901.6201171875
2021-04-29,56.166666666666664,4211.47,13970.2001953125
2021-04-30,46.53333333333333,4181.17,13860.759765625
2021-05-03,47.56666666666667,4192.66,13799.7197265625
2021-05-04,43.46666666666667,4164.66,13544.669921875
2021-05-05,43.03333333333333,4167.59,13503.3701171875
2021-05-06,43.93333333333334,4201.62,13613.73046875
2021-05-07,48.166666666666664,4232.6,13719.6298828125
2021-05-10,44.93333333333334,4188.43,13359.080078125
2021-05-11,42.03333333333334,4152.1,13351.26953125
2021-05-12,26.766666666666666,4063.04,13001.6298828125
2021-05-13,34.433333333333344,4112.5,13109.150390625
2021-05-14,35.99999999999999,4173.85,13393.1201171875
2021-05-17,36.36666666666667,4163.29,13312.91015625
2021-05-18,34.03333333333334,4127.83,13217.6796875
2021-05-19,32.333333333333336,4115.68,13237.91015625
2021-05-20,32.300000000000004,4159.12,13494.08984375
2021-05-21,29.433333333333337,4155.86,13411.740234375
2021-05-24,29.5,4197.05,13641.75
2021-05-25,26.66666666666667,4188.13,13657.73046875
2021-05-26,28.133333333333336,4195.99,13702.740234375
2021-05-27,30.3,4200.88,13657.849609375
2021-05-28,31.566666666666663,4204.11,13686.509765625
2021-06-01,35.4,4202.04,13654.58984375
2021-06-02,42.13333333333333,4208.12,13675.7900390625
2021-06-03,40.8,4192.85,13529.6796875
2021-06-04,41.9,4229.89,13770.76953125
2021-06-07,44.46666666666667,4226.52,13802.8896484375
2021-06-08,46.46666666666667,4227.26,13810.8603515625
2021-06-09,48.53333333333333,4219.55,13814.9404296875
2021-06-10,48.9,4239.18,13960.349609375
2021-06-11,51.23333333333334,4247.44,13998.2998046875
2021-06-14,54.166666666666664,4255.15,14128.2001953125
2021-06-15,52.666666666666664,4246.59,14030.41015625
2021-06-16,44.8,4223.7,13983.009765625
2021-06-17,42.03333333333334,4221.86,14163.8095703125
2021-06-18,31.600000000000005,4166.45,14049.580078125
2021-06-21,32.46666666666666,4224.79,14137.23046875
2021-06-22,32.800000000000004,4246.44,14270.419921875
2021-06-23,33.26666666666667,4241.84,14274.240234375
2021-06-24,36.9,4266.49,14365.9599609375
2021-06-25,41.63333333333333,4280.7,14345.1796875
2021-06-28,41.43333333333334,4290.61,14524.98046875
2021-06-29,39.833333333333336,4291.8,14572.75
2021-06-30,38.00000000000001,4297.5,14554.7998046875
2021-07-01,38.666666666666664,4319.94,14560.0498046875
2021-07-02,38.66666666666667,4352.34,14727.6298828125
2021-07-06,33.300000000000004,4343.54,14786.3603515625
2021-07-07,33.1,4358.13,14810.5400390625
2021-07-08,26.96666666666667,4320.82,14722.1396484375
2021-07-09,31.000000000000004,4369.55,14826.08984375
2021-07-12,31.7,4384.63,14877.8896484375
2021-07-13,31.266666666666666,4369.21,14874.5400390625
2021-07-14,29.533333333333335,4374.3,14900.4404296875
2021-07-15,27.33333333333334,4360.03,14794.6904296875
2021-07-16,26.9,4327.16,14681.3798828125
2021-07-19,8.983333333333334,4258.49,14549.08984375
2021-07-20,20.066666666666663,4323.06,14728.2099609375
2021-07-21,24.2,4358.69,14842.6298828125
2021-07-22,24.333333333333332,4367.48,14940.169921875
2021-07-23,28.299999999999997,4411.79,15111.7900390625
2021-07-26,30.9,4422.3,15125.9501953125
2021-07-27,27.166666666666668,4401.46,14956.9697265625
2021-07-28,27.46666666666667,4400.64,15018.099609375
2021-07-29,29.233333333333334,4419.15,15048.3603515625
2021-07-30,25.76666666666667,4395.26,14959.900390625
2021-08-02,25.1,4387.16,14963.6201171875
2021-08-03,29.533333333333335,4423.15,15061.419921875
2021-08-04,28.633333333333336,4402.66,15083.3896484375
2021-08-05,29.633333333333336,4429.1,15181.6396484375
2021-08-06,31.866666666666664,4436.52,15109.3603515625
2021-08-09,32.06666666666667,4432.35,15133.1103515625
2021-08-10,34.833333333333336,4436.75,15053.580078125
2021-08-11,37.93333333333334,4447.7,15027.759765625
2021-08-12,43.13333333333333,4460.83,15088.98046875
2021-08-13,47.13333333333333,4468.0,15136.6796875
2021-08-16,44.866666666666674,4479.71,15140.76953125
2021-08-17,31.7,4448.08,15002.830078125
2021-08-18,18.2,4400.27,14857.919921875
2021-08-19,14.883333333333336,4405.8,14933.9404296875
2021-08-20,23.86666666666667,4441.67,15092.5703125
2021-08-23,30.433333333333337,4479.53,15312.8203125
2021-08-24,34.4,4486.23,15357.6796875
2021-08-25,36.03333333333333,4496.19,15368.919921875
2021-08-26,36.833333333333336,4470.0,15278.51953125
2021-08-27,47.46666666666667,4509.37,15432.9501953125
2021-08-30,47.86666666666667,4528.79,15605.08984375
2021-08-31,47.23333333333333,4522.68,15582.509765625
2021-09-01,43.13333333333333,4524.09,15611.5703125
2021-09-02,44.166666666666664,4536.95,15604.25
2021-09-03,44.06666666666666,4535.43,15652.8603515625
2021-09-07,41.7,4520.03,15675.759765625
2021-09-08,38.56666666666667,4514.07,15620.849609375
2021-09-09,33.800000000000004,4493.28,15561.0498046875
2021-09-10,20.600000000000005,4458.58,15440.75
2021-09-13,28.266666666666666,4468.73,15434.5
2021-09-14,24.8,4443.05,15382.900390625
2021-09-15,31.200000000000003,4480.7,15503.5302734375
2021-09-16,31.500000000000004,4473.75,15515.91015625
2021-09-17,17.933333333333337,4432.99,15333.4697265625
2021-09-20,11.1,4357.73,15012.1904296875
2021-09-21,11.449999999999998,4354.19,15027.76953125
2021-09-22,20.033333333333335,4395.64,15176.509765625
2021-09-23,24.5,4448.98,15316.580078125
2021-09-24,23.83333333333334,4455.48,15329.6796875
2021-09-27,24.766666666666666,4443.11,15204.8203125
2021-09-28,12.466666666666669,4352.63,14770.2998046875
2021-09-29,12.483333333333334,4359.46,14752.8896484375
2021-09-30,9.966666666666669,4307.54,14689.6201171875
2021-10-01,18.333333333333332,4357.04,14791.8701171875
2021-10-04,9.500000000000002,4300.46,14472.1201171875
2021-10-05,18.766666666666666,4345.72,14674.150390625
2021-10-06,20.066666666666663,4363.55,14766.75
2021-10-07,24.600000000000005,4399.76,14897.1298828125
2021-10-08,25.26666666666667,4391.34,14820.75
2021-10-11,25.9,4361.19,14713.73046875
2021-10-12,22.7,4350.65,14662.1103515625
2021-10-13,24.100000000000005,4363.8,14774.599609375
