樣本,訊號,窗口,實際守住率,隨機基準,倍數,事件數
SPX (對齊樣本),極度恐懼,3,67.6,37.6,1.8,34
SPX (對齊樣本),極度恐懼,5,52.9,31.0,1.71,34
SPX (對齊樣本),極度恐懼,10,38.2,23.6,1.62,34
SPX (對齊樣本),極度恐懼,15,33.3,20.2,1.65,34
SPX (對齊樣本),極度恐懼,20,30.3,17.3,1.75,34
SPX (對齊樣本),極度恐懼,30,24.2,15.4,1.58,34
SPX (對齊樣本),極度恐懼,40,24.2,13.9,1.75,34
SPX (對齊樣本),極度恐懼,60,21.2,11.8,1.8,34
SPX (對齊樣本),極度貪婪,3,33.3,23.9,1.39,15
SPX (對齊樣本),極度貪婪,5,26.7,17.0,1.57,15
SPX (對齊樣本),極度貪婪,10,26.7,10.4,2.57,15
SPX (對齊樣本),極度貪婪,15,23.1,8.0,2.89,15
SPX (對齊樣本),極度貪婪,20,15.4,6.9,2.23,15
SPX (對齊樣本),極度貪婪,30,15.4,4.7,3.27,15
SPX (對齊樣本),極度貪婪,40,7.7,3.4,2.23,15
SPX (對齊樣本),極度貪婪,60,0.0,2.1,0.0,15
NQ (對齊樣本),極度恐懼,3,67.6,36.8,1.84,34
NQ (對齊樣本),極度恐懼,5,50.0,29.6,1.69,34
NQ (對齊樣本),極度恐懼,10,35.3,22.7,1.56,34
NQ (對齊樣本),極度恐懼,15,33.3,19.1,1.75,34
NQ (對齊樣本),極度恐懼,20,24.2,17.5,1.39,34
NQ (對齊樣本),極度恐懼,30,18.2,15.3,1.19,34
NQ (對齊樣本),極度恐懼,40,18.2,14.8,1.23,34
NQ (對齊樣本),極度恐懼,60,18.2,12.5,1.45,34
NQ (對齊樣本),極度貪婪,3,40.0,23.7,1.69,15
NQ (對齊樣本),極度貪婪,5,33.3,18.0,1.85,15
NQ (對齊樣本),極度貪婪,10,26.7,11.6,2.31,15
NQ (對齊樣本),極度貪婪,15,23.1,8.9,2.6,15
NQ (對齊樣本),極度貪婪,20,23.1,6.9,3.35,15
NQ (對齊樣本),極度貪婪,30,15.4,4.9,3.15,15
NQ (對齊樣本),極度貪婪,40,0.0,3.5,0.0,15
NQ (對齊樣本),極度貪婪,60,0.0,2.5,0.0,15
NQ (延伸 2016-07 起),極度恐懼,3,64.7,38.5,1.68,51
NQ (延伸 2016-07 起),極度恐懼,5,47.1,32.0,1.47,51
NQ (延伸 2016-07 起),極度恐懼,10,31.4,25.3,1.24,51
NQ (延伸 2016-07 起),極度恐懼,15,30.0,21.2,1.41,51
NQ (延伸 2016-07 起),極度恐懼,20,24.0,19.5,1.23,51
NQ (延伸 2016-07 起),極度恐懼,30,18.0,17.1,1.05,51
NQ (延伸 2016-07 起),極度恐懼,40,18.0,15.8,1.14,51
NQ (延伸 2016-07 起),極度恐懼,60,18.0,13.5,1.33,51
NQ (延伸 2016-07 起),極度貪婪,3,41.9,22.8,1.84,31
NQ (延伸 2016-07 起),極度貪婪,5,29.0,16.8,1.73,31
NQ (延伸 2016-07 起),極度貪婪,10,19.4,10.6,1.82,31
NQ (延伸 2016-07 起),極度貪婪,15,17.2,7.7,2.24,31
NQ (延伸 2016-07 起),極度貪婪,20,17.2,5.8,2.96,31
NQ (延伸 2016-07 起),極度貪婪,30,10.3,4.2,2.44,31
NQ (延伸 2016-07 起),極度貪婪,40,3.4,3.0,1.16,31
NQ (延伸 2016-07 起),極度貪婪,60,3.4,2.1,1.63,31
