Date,FG,NQ
2016-07-01,71.0,4437.4501953125
2016-07-05,69.0,4410.75
2016-07-06,69.0,4444.7001953125
2016-07-07,69.0,4459.580078125
2016-07-08,75.0,4528.35986328125
2016-07-11,80.0,4554.7099609375
2016-07-12,86.0,4577.60986328125
2016-07-13,86.0,4565.77001953125
2016-07-14,90.0,4596.490234375
2016-07-15,88.0,4589.830078125
2016-07-18,89.0,4619.68017578125
2016-07-19,89.0,4603.27978515625
2016-07-20,88.0,4657.2001953125
2016-07-21,87.0,4647.02001953125
2016-07-22,85.0,4666.06982421875
2016-07-25,85.0,4665.93017578125
2016-07-26,82.0,4672.10986328125
2016-07-27,84.0,4702.8798828125
2016-07-28,82.0,4721.41015625
2016-07-29,80.0,4730.22998046875
2016-08-01,64.0,4756.0400390625
2016-08-02,78.0,4719.2099609375
2016-08-03,80.0,4734.330078125
2016-08-04,81.0,4743.81005859375
2016-08-05,85.0,4791.2099609375
2016-08-08,80.0,4784.740234375
2016-08-09,75.0,4795.75
2016-08-10,78.0,4783.39013671875
2016-08-11,78.0,4803.31005859375
2016-08-12,75.0,4807.080078125
2016-08-15,78.0,4827.1201171875
2016-08-16,78.0,4797.18994140625
2016-08-17,77.0,4805.4501953125
2016-08-18,78.0,4808.68017578125
2016-08-19,76.0,4806.14013671875
2016-08-22,74.0,4808.56005859375
2016-08-23,75.0,4818.47998046875
2016-08-24,70.0,4783.490234375
2016-08-25,65.0,4775.43017578125
2016-08-26,63.0,4783.68994140625
2016-08-29,64.0,4791.08984375
2016-08-30,64.0,4775.990234375
2016-08-31,62.0,4771.0498046875
2016-09-01,63.0,4783.93994140625
2016-09-02,63.0,4798.740234375
2016-09-06,65.0,4829.509765625
2016-09-07,64.0,4831.85986328125
2016-09-08,69.0,4804.0
2016-09-09,47.0,4681.5400390625
2016-09-12,55.0,4764.64990234375
2016-09-13,36.0,4722.85009765625
2016-09-14,34.0,4746.06005859375
2016-09-15,39.0,4819.89990234375
2016-09-16,44.0,4818.0498046875
2016-09-19,45.0,4796.06982421875
2016-09-20,45.0,4805.22021484375
2016-09-21,54.0,4853.75
2016-09-22,59.0,4891.35986328125
2016-09-23,53.0,4858.91015625
2016-09-26,47.0,4817.169921875
2016-09-27,45.0,4866.7099609375
2016-09-28,45.0,4875.27001953125
2016-09-29,44.0,4838.2998046875
2016-09-30,43.0,4875.7001953125
2016-10-03,45.0,4866.6298828125
2016-10-04,49.0,4859.47021484375
2016-10-05,49.0,4877.75
2016-10-06,52.0,4873.919921875
2016-10-07,55.0,4864.52001953125
2016-10-10,55.0,4893.77001953125
2016-10-11,47.0,4821.91015625
2016-10-12,45.0,4819.64013671875
2016-10-13,34.0,4803.10009765625
2016-10-14,33.0,4808.47998046875
2016-10-17,33.0,4796.169921875
2016-10-18,38.0,4839.72021484375
2016-10-19,41.0,4836.60986328125
2016-10-20,38.0,4832.7099609375
2016-10-21,44.0,4851.85986328125
