樣本,訊號,連續天數,事件數,守住率
SPX (對齊樣本),極度恐懼,1天,9,22.0
SPX (對齊樣本),極度恐懼,2-3天,9,44.0
SPX (對齊樣本),極度恐懼,4-7天,6,33.0
SPX (對齊樣本),極度恐懼,8天以上,9,33.0
SPX (對齊樣本),極度貪婪,1天,3,33.0
SPX (對齊樣本),極度貪婪,2-3天,3,0.0
SPX (對齊樣本),極度貪婪,4-7天,4,50.0
SPX (對齊樣本),極度貪婪,8天以上,3,0.0
NQ (對齊樣本),極度恐懼,1天,9,22.0
NQ (對齊樣本),極度恐懼,2-3天,9,44.0
NQ (對齊樣本),極度恐懼,4-7天,6,33.0
NQ (對齊樣本),極度恐懼,8天以上,9,33.0
NQ (對齊樣本),極度貪婪,1天,3,33.0
NQ (對齊樣本),極度貪婪,2-3天,3,0.0
NQ (對齊樣本),極度貪婪,4-7天,4,50.0
NQ (對齊樣本),極度貪婪,8天以上,3,0.0
NQ (延伸 2016-07 起),極度恐懼,1天,15,20.0
NQ (延伸 2016-07 起),極度恐懼,2-3天,12,42.0
NQ (延伸 2016-07 起),極度恐懼,4-7天,9,44.0
NQ (延伸 2016-07 起),極度恐懼,8天以上,14,21.0
NQ (延伸 2016-07 起),極度貪婪,1天,3,33.0
NQ (延伸 2016-07 起),極度貪婪,2-3天,8,12.0
NQ (延伸 2016-07 起),極度貪婪,4-7天,10,30.0
NQ (延伸 2016-07 起),極度貪婪,8天以上,8,0.0
